""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"S1"	"-0.676638655462185"	"-0.043937575030012"	"0.722448979591837"	"0.00321728691476591"	"0.206818727490996"	"LumA"	"1"	"7.28621972363534"	"low"	"-0.717097934376338"	"4.26574848272188"	"low"	"0.648746013527649"	"0.346160279763708"
"S2"	"-0.628745115067303"	"-0.29537559704733"	"0.79070777247069"	"-0.0196482848458532"	"0.256079027355623"	"LumA"	"1"	"0.623686917192409"	"low"	"-0.78137677164283"	"-1.24409930223444"	"low"	"1.77989476098145"	"-0.0605906087047018"
"S3"	"-0.658265306122449"	"-0.131326530612245"	"0.838775510204082"	"-0.0172448979591837"	"0.219183673469388"	"LumA"	"1"	"0.931181212965185"	"low"	"-0.852320487607866"	"-3.25421087057897"	"low"	"2.87235579036288"	"2.27494844557257"
"S4"	"0.211037553208941"	"-0.468619005139305"	"0.327368390758636"	"-0.778988754625769"	"0.909369489553485"	"Normal"	"1"	"8.75208026023838"	"low"	"-0.574655529399808"	"6.26385305251773"	"low"	"-1.33330542581344"	"-0.589566456488342"
"S5"	"-0.462280912364946"	"-0.38093637454982"	"0.793229291716687"	"-0.191740696278511"	"0.44124849939976"	"LumA"	"1"	"-2.78887752802768"	"low"	"-0.882801056814495"	"-7.02573001722438"	"low"	"2.42871998353948"	"0.60232188923025"
"S6"	"0.323313325330132"	"-0.544201680672269"	"0.184729891956783"	"-0.830972388955582"	"0.891380552220888"	"Normal"	"1"	"13.2432656243486"	"low"	"-0.456072895525147"	"11.6534394202654"	"low"	"-0.987257827599076"	"-0.565989853996823"
"S7"	"0.171188475390156"	"-0.622953181272509"	"0.396494597839136"	"-0.713517406962785"	"0.928547418967587"	"Normal"	"1"	"4.52033342826071"	"low"	"-0.616594155539124"	"2.94732261221943"	"low"	"-0.499183280463898"	"-0.510128362038707"
"S8"	"-0.60909683022145"	"-0.0677377333912288"	"0.774641771602258"	"0.0582935301780287"	"0.130373425966131"	"LumA"	"1"	"6.02906789609461"	"low"	"-0.851205019365927"	"-1.5407819235268"	"low"	"2.21990483378929"	"1.07533473360921"
"S9"	"-0.406020408163265"	"-0.303877551020408"	"0.566224489795918"	"-0.100816326530612"	"0.228061224489796"	"LumA"	"1"	"9.55057011956782"	"low"	"-0.548001857122974"	"9.99808654869158"	"low"	"3.34188004733878"	"0.0222382111661107"
"S10"	"-0.320225510923185"	"-0.65877378435518"	"0.778435517970402"	"-0.328682170542636"	"0.592529950669486"	"LumA"	"1"	"-7.83690354715417"	"low"	"-1.03083245579018"	"-15.8289182887103"	"low"	"2.59338848688875"	"-0.437936678020672"
"S11"	"0.316206482593037"	"-0.559471788715486"	"0.21719087635054"	"-0.700552220888355"	"0.876110444177671"	"Normal"	"1"	"13.8192951445237"	"low"	"-0.626236696162517"	"5.1469033524979"	"low"	"-1.04375547718793"	"-1.17129225715347"
"S12"	"-0.359591836734694"	"-0.539897959183673"	"0.808061224489796"	"-0.329897959183673"	"0.574897959183673"	"LumA"	"1"	"-7.53676357599039"	"low"	"-0.791706487333078"	"-5.67194440834778"	"low"	"2.22490281410717"	"-0.490323842179962"
"S13"	"-0.414624505928854"	"-0.282345191040843"	"0.744268774703557"	"-0.246113306982872"	"0.422529644268775"	"LumA"	"1"	"0.0136057912113528"	"low"	"-1.08315169576929"	"-13.9745044286263"	"low"	"0.161553309417067"	"0.500671666947087"
"S14"	"-0.722034142684532"	"0.132296093581796"	"0.522989747803754"	"0.436649139360897"	"-0.210809383239232"	"LumA"	"1"	"25.1621232133696"	"med"	"-0.30720816825604"	"26.7790570314318"	"med"	"2.31792159971126"	"0.578494731046773"
"S15"	"0.114591836734694"	"-0.51030612244898"	"0.410204081632653"	"-0.761326530612245"	"0.809387755102041"	"Normal"	"1"	"4.52444539231693"	"low"	"-0.661745599950967"	"1.64179224617627"	"low"	"-0.263020297210634"	"0.139385256430662"
"S16"	"0.0340314804059819"	"-0.291997244922691"	"0.442205158438749"	"-0.599964284998413"	"0.832011020960041"	"Normal"	"1"	"8.69901005259365"	"low"	"-0.642735389638691"	"4.76432074799971"	"low"	"-1.27159870192244"	NA
"S17"	"-0.452543878734972"	"-0.0894139115242484"	"0.606401114247158"	"-0.106269058111258"	"0.268962039982446"	"LumA"	"1"	"10.7090230466405"	"low"	"-0.548008744374123"	"11.2682167567003"	"low"	"1.25232515240206"	"-1.0327140242754"
